model,trojan netlist,n_pcp,n_labels,approx_error,detection_error
cnn,trojan17_0@s35932_T017_noassign_vallogic,27,27,6.75,0
cnn,troj33_0U2@c6288_T033_noassign_vallogic,16,16,4,0
cnn,troj58_0U6@c5315_T058_noassign_vallogic,16,16,4,0
cnn,troj17_0U2@s35932_T017_noassign_vallogic,13,13,3.25,0
cnn,trojan58_0@c5315_T058_noassign_vallogic,18,13,4.5,0
cnn,troj33_0U1@c6288_T033_noassign_vallogic,100,100,25,0
cnn,trojan15_0@s13207_T015_noassign_vallogic,39,2,0,2
cnn,troj33_0U6@c6288_T033_noassign_vallogic,12,0,0,0
cnn,troj17_0U5@s35932_T017_noassign_vallogic,8,0,0,0
cnn,trojan7_0@s15850_T007_noassign_vallogic,36,14,9,0
cnn,trojan10_0@s1423_T010_noassign_vallogic,108,84,27,0
cnn,troj17_0U4@s35932_T017_noassign_vallogic,10,10,2.5,0
cnn,troj58_0U3@c5315_T058_noassign_vallogic,8,8,2,0
cnn,troj33_0U3@c6288_T033_noassign_vallogic,8,8,2,0
cnn,troj17_0U7@s35932_T017_noassign_vallogic,36,9,0,9
cnn,trojan64_0@c3540_T064_noassign_vallogic,22,10,3.5,0
cnn,troj17_0U8@s35932_T017_noassign_vallogic,10,1,0,1
cnn,troj2_0U4@c2670_T002_noassign_vallogic,4,4,1,0
cnn,troj64_0U3@c3540_T064_noassign_vallogic,4,4,1,0
cnn,trojan33_0@c6288_T033_noassign_vallogic,96,96,24,0
cnn,troj58_0U4@c5315_T058_noassign_vallogic,6,6,1.5,0
cnn,troj58_0U2@c5315_T058_noassign_vallogic,20,12,5,0
cnn,troj15_0U2@s13207_T015_noassign_vallogic,21,0,0,0
cnn,troj7_0U3@s15850_T007_noassign_vallogic,6,2,1.5,0
cnn,troj17_0U1@s35932_T017_noassign_vallogic,15,15,3.75,0
cnn,troj33_0U5@c6288_T033_noassign_vallogic,12,12,3,0
cnn,troj17_0U6@s35932_T017_noassign_vallogic,10,10,2.5,0
cnn,troj7_0U4@s15850_T007_noassign_vallogic,29,8,3,2
cnn,troj64_0U5@c3540_T064_noassign_vallogic,4,0,0,0
cnn,troj17_0U3@s35932_T017_noassign_vallogic,8,8,2,0
cnn,troj2_0U3@c2670_T002_noassign_vallogic,8,8,2,0
cnn,troj64_0U2@c3540_T064_noassign_vallogic,26,26,6.5,0
cnn,troj10_0U1@s1423_T010_noassign_vallogic,69,69,17.25,0
cnn,troj7_0U1@s15850_T007_noassign_vallogic,15,9,3.75,0
cnn,troj64_0U4@c3540_T064_noassign_vallogic,28,28,7,0
cnn,troj15_0U5@s13207_T015_noassign_vallogic,8,0,0,0
cnn,troj15_0U3@s13207_T015_noassign_vallogic,8,0,0,0
cnn,troj64_0U1@c3540_T064_noassign_vallogic,32,32,8,0
cnn,troj15_0U1@s13207_T015_noassign_vallogic,24,11,6,0
cnn,troj10_0U3@s1423_T010_noassign_vallogic,8,0,0,0
cnn,troj33_0U4@c6288_T033_noassign_vallogic,32,32,8,0
cnn,troj2_0U1@c2670_T002_noassign_vallogic,20,8,5,0
cnn,troj10_0U2@s1423_T010_noassign_vallogic,11,11,2.75,0
cnn,troj7_0U2@s15850_T007_noassign_vallogic,13,7,3.25,0
cnn,troj58_0U5@c5315_T058_noassign_vallogic,1,0,0,0
cnn,troj58_0U1@c5315_T058_noassign_vallogic,31,31,7.75,0
cnn,troj33_0U7@c6288_T033_noassign_vallogic,32,32,8,0
cnn,troj15_0U4@s13207_T015_noassign_vallogic,21,6,4.5,0
cnn,trojan2_0@c2670_T002_noassign_vallogic,13,11,3.25,0
cnn,troj2_0U2@c2670_T002_noassign_vallogic,15,15,3.75,0
